title,description
Morning Yoga,Start your day with a gentle yoga flow
HIIT Blast,High-intensity interval training for maximum calorie burn
Spin Class,Indoor cycling workout set to energizing music
Strength Training,Build muscle with compound movements
Pilates Core,Core-strengthening pilates exercises
Zumba Dance,Dance-inspired cardio workout
Boxing Bootcamp,Full-body boxing and conditioning
Power Lifting,Advanced strength training for serious lifters
Beginner Strength,Introduction to weight training
Stretch & Mobility,Improve flexibility and range of motion
CrossFit WOD,Workout of the day - varied functional fitness
Barre Fitness,Ballet-inspired low-impact workout
Aqua Aerobics,Low-impact cardio in the pool
TRX Suspension,Full-body workout using suspension straps
Boot Camp,Military-style circuit training
Senior Fitness,Age-appropriate strength and cardio
Prenatal Yoga,Safe yoga for expectant mothers
Teen Fitness,Age-appropriate fitness for teenagers
Kickboxing,Martial arts inspired cardio workout
Meditation & Mindfulness,Guided meditation and breathing exercises

